2024年入库科技型中小企业名单（以下数据仅限于科技型中小企业评价工作的相关应用，严禁数据公开或用于其他任何非授权目的）,,,,,
19667,河南鳌祺智能科技有限公司,,,,
19668,周口市伟坤盛世食品有限公司,,,,
19669,河南达耐特新材料科技有限公司,,,,
19670,尉氏鑫友粮油购销有限公司,,,,
19671,内乡县锐金商贸有限公司,,,,
19672,许昌汇明机电有限公司,,,,
19673,郑州郑飞锻铸有限责任公司,,,,
19674,禹州市泰瑞机车配件有限公司,,,,
19675,禹州市歌瑞诗工艺品有限公司,,,,
19676,南阳市贵都装饰工程有限公司,,,,
19677,河南隆行贸易有限公司,,,,
19678,焦作市吉康通医疗器械有限公司,,,,
19679,郑州宝佳电子科技有限公司,,,,
19680,濮阳市辰基文化传媒有限公司,,,,
19681,河南久顺食品有限公司,,,,
19682,内乡县杰诺石业有限公司,,,,
19683,中诚祥顺工程管理咨询有限公司,,,,
19684,洛阳轩飞机械设备有限公司,,,,
19685,河南建桐建设有限公司,,,,
19686,河南众智通企业管理咨询有限公司,,,,
19687,河南紫源建筑工程有限公司,,,,
19688,河南嵩禹机械设备制造有限公司,,,,
19689,濮阳尚亿装饰材料有限公司,,,,
19690,尉氏鑫兴河南省粮食储备有限公司,,,,
19691,濮阳市普柯特腐蚀科技有限公司,,,,
19692,内乡县双胜商贸有限公司,,,,
19693,郑州市万乐游艺设备有限公司,,,,
19694,南阳永丰光学有限公司,,,,
19695,河南威凯斯特耐磨材料有限公司,,,,
19696,禹州市茂俞工艺品有限公司,,,,
19697,信阳正东建材有限公司,,,,
19698,洛阳福讷斯热能科技有限公司,,,,
19699,河南安诚实业发展集团有限公司,,,,
19700,洛阳超越机械有限公司,,,,
19701,光山县唐宋山旅游文化传播有限公司,,,,
19702,河南辉轮科技有限公司,,,,
19703,禹州市新欧发制品有限公司,,,,
19704,河南成光机械有限公司,,,,
19705,南阳泽厚生物科技有限公司,,,,
19706,安阳市瑞祥机械有限责任公司,,,,
19707,哲思亿佳河南科技有限公司,,,,
19708,河南三升隆能源实业有限公司,,,,
19709,桐柏县泰山村聚力农牧专业合作社,,,,
19710,南阳市宛城区谦顺机械设备租赁有限公司,,,,
19711,河南伟博农牧有限公司,,,,
19712,河南大禹过滤设备有限公司,,,,
19713,唐河县杨壮香菇种植有限公司,,,,
19714,商丘市亿源塑料制品有限公司,,,,
19715,洛阳耐博轴承专用模具有限公司,,,,
19716,河南三力车桥有限公司,,,,
19717,中弘致远建设有限公司,,,,
19718,内乡县斑文商贸有限公司,,,,
19719,焦作华辰电子科技有限公司,,,,
19720,社旗县付旺养殖有限公司,,,,
19721,周口市正林纺织再就业有限公司,,,,
19722,南阳科利光学有限公司,,,,
19723,河南全顺智能科技有限公司,,,,
19724,河南布洛维环保科技有限公司,,,,
19725,内乡县诚怀农业服务有限公司,,,,
19726,禹州市华夏矿山机械制造有限公司,,,,
19727,南阳德民肥业科技有限公司,,,,
19728,河南省智强农业发展有限公司,,,,
19729,河南星烁科技有限公司,,,,
19730,社旗县丰泉面业有限公司,,,,
19731,河南芈盛农牧科技有限公司,,,,
19732,内乡县心之语信息咨询有限公司,,,,
19733,内乡县格恒农牧设备有限公司,,,,
19734,西峡县彬源食品有限公司,,,,
19735,信阳东方盛世茶业有限公司,,,,
19736,周口零度空间跨境电子商务有限责任公司,,,,
19737,河南氢硅新材料科技有限公司,,,,
19738,河南华正通信息技术有限公司,,,,
19739,洛阳拓金网络科技有限公司,,,,
19740,桐柏县张楼村聚力农牧专业合作社,,,,
19741,南阳市华昌农作物种植专业合作社,,,,
19742,郑州南叶大数据有限公司,,,,
19743,平顶山宝树堂环保科技有限公司,,,,
19744,平顶山市凡音网络科技有限公司,,,,
19745,河南昌沃农业有限公司,,,,
19746,河南国瑞升实业有限公司,,,,
19747,河南科盾电子科技有限公司,,,,
19748,南阳金榜农业有限公司,,,,
19749,新乡市坤远机械有限公司,,,,
19750,郑州市恋日智能家居有限公司,,,,
19751,河南省力拓陶瓷原料有限公司,,,,
19752,河南丹阳生物科技股份有限公司,,,,
19753,南阳市天曜生物科技有限公司,,,,
19754,河南佳尔特检测技术有限公司,,,,
19755,南阳郭氏一诺食品有限公司,,,,
19756,河南杰一智能设备有限公司,,,,
19757,洛阳炎黄科技园运营有限公司,,,,
19758,新乡市明朗机电科技有限公司,,,,
19759,舞钢远铭机械有限公司,,,,
19760,新乡市汇能玉源发电有限公司,,,,
19761,河南晶华膜技真空科技有限公司,,,,
19762,西峡县源晟食品有限公司,,,,
19763,河南利玖医疗科技有限公司,,,,
19764,光山县六子农业有限公司,,,,
19765,河南金沃食用菌有限公司,,,,
19766,河南省润宁农业科技有限公司,,,,
19767,南阳本苏建筑工程有限公司,,,,
19768,河南省天航紧固件制造有限公司,,,,
19769,南阳奇乃尔艾草生物科技有限公司,,,,
19770,唐河县力怀农业专业合作社,,,,
19771,河南省鼎新智能装备科技有限公司,,,,
19772,社旗县国强装饰建材有限公司,,,,
19773,巩义市瑞驰铝业有限公司,,,,
19774,南阳聚粮丰农业发展有限公司,,,,
19775,南阳军哥环保科技有限公司,,,,
19776,鄢陵至尊农机农民专业合作社,,,,
19777,河南联一家居有限公司,,,,
19778,南阳牧远环保科技有限公司,,,,
19779,林州网之程科技有限公司,,,,
19780,社旗县顺鑫农业发展有限公司,,,,
19781,林州弗雷传动科技有限公司,,,,
19782,内乡县江都石材有限公司,,,,
19783,河南省晨曦绿化工程有限公司,,,,
19784,南阳市绿山泉饮品有限公司,,,,
19785,社旗县银良三粉有限公司,,,,
19786,河南正信生物科技有限公司,,,,
19787,郑州赛克超硬材料有限公司,,,,
19788,宜阳红星陶瓷有限公司,,,,
19789,河南中集国际货运代理有限公司,,,,
19790,社旗县虹辰种植专业合作社,,,,
19791,邓州市邓帮食品有限公司,,,,
19792,唐河县加一农业专业合作社,,,,
19793,河南智巢网络科技有限公司,,,,
19794,社旗县智康达农业服务有限公司,,,,
19795,濮阳市锐祺防水材料有限公司,,,,
19796,天元纤维股份有限公司,,,,
19797,西峡县天顺铸耐材料有限公司,,,,
19798,林州无忧草网络科技有限公司,,,,
19799,栾川县潭头镇后山人种养殖专业合作社,,,,
19800,河南凯美昂生物科技有限公司,,,,
19801,河南省慕华教育科技有限公司,,,,
19802,南阳市富源草业有限公司,,,,
19803,河南高度食品有限公司,,,,
19804,罗山县鼎丰电子有限公司,,,,
19805,南阳市伊任食品有限公司,,,,
19806,河南仟圣农科农业开发有限公司,,,,
19807,河南普特威生物工程有限公司,,,,
19808,濮阳市万兴科技有限公司,,,,
19809,河南华洋封头有限公司,,,,
19810,河南李济堂医药科技有限公司,,,,
19811,邓州市鹏宇纺织有限公司,,,,
19812,河南省统兴农业科技有限公司,,,,
19813,河南省金满信息科技有限公司,,,,
19814,河南省热丰锅炉有限公司,,,,
19815,林州铭晖网络科技有限公司,,,,
19816,河南纽斯达实业有限公司,,,,
19817,河南匠成智造科技有限公司,,,,
19818,河南省鑫承智控自动化技术有限公司,,,,
19819,洛阳跃动体育用品有限公司,,,,
19820,洛阳志品新材料有限公司,,,,
19821,林州绿健农业发展有限公司,,,,
19822,河南博奥泵业有限公司,,,,
19823,问财云（郑州）信息科技有限责任公司,,,,
19824,社旗县神农农机有限公司,,,,
19825,河南丰源种子有限公司,,,,
19826,南阳成翔塑料制品有限公司,,,,
19827,南阳双能建筑安装有限公司,,,,
19828,河南云投小镇创业孵化器有限公司,,,,
19829,河南鼎瑞和水利工程有限公司,,,,
19830,鹤壁中消云物联网科技有限公司,,,,
19831,邓州市玉玺服饰有限公司,,,,
19832,社旗县田飞农机有限公司,,,,
19833,河南一开电气有限公司,,,,
19834,河南春韵农业科技有限公司,,,,
19835,河南凡达路桥工程有限公司,,,,
19836,南阳乐农生物科技有限公司,,,,
19837,河南腾聚信息科技有限公司,,,,
19838,河南万贺建设集团有限公司,,,,
19839,鹤壁市瑞达钢化玻璃有限公司,,,,
19840,郑州中力泵阀制造有限公司,,,,
19841,河南晶咖新能源有限公司,,,,
19842,新乡市天丰振动机械有限公司,,,,
19843,河南福玉宝厨具有限公司,,,,
19844,河南问道光电科技有限公司,,,,
19845,周口市老磨坊粮油食品有限公司,,,,
19846,泌阳县龙源农业科技有限公司,,,,
19847,汝阳县瑞晨农业开发有限公司,,,,
19848,商城县汇千智慧实业有限公司,,,,
19849,林州市米来智能科技有限公司,,,,
19850,河南鑫顺农业开发有限公司,,,,
19851,河南上鼎源生物科技有限公司,,,,
19852,河南梦亦清农业科技有限公司,,,,
19853,信阳市四季香茶业有限公司,,,,
19854,阔福门业（洛阳）有限公司,,,,
19855,河南希昊网络科技有限公司,,,,
19856,河南裕兴农业科技有限公司,,,,
19857,林州市延年百龄中药科技有限公司,,,,
19858,洛阳闪硕光电科技有限公司,,,,
19859,河南千宠生物科技有限公司,,,,
19860,汝州市士博生态农业发展有限公司,,,,
19861,汝州恒飞科技有限公司,,,,
19862,洛阳云翼网络信息科技有限公司,,,,
19863,河南省创元物联网科技有限公司,,,,
19864,中科云谷（河南）数字产业研究院有限公司,,,,
19865,河南省爱想农牧发展有限公司,,,,
19866,河南康瑞艾制品有限公司,,,,
19867,洛阳尔玛网络科技有限公司,,,,
19868,西峡县明花林木种植有限公司,,,,
19869,桐柏县君盛新型材料有限公司,,,,
19870,洛阳银丰塑料彩印有限公司,,,,
19871,河南昊邦锅炉有限公司,,,,
19872,林州市东姚洪河米业有限公司,,,,
19873,内乡县金砼新材料有限公司,,,,
19874,郑州森爱网络科技有限公司,,,,
19875,郑州郑阀机械有限公司,,,,
19876,内乡县花开满园月季苗木有限公司,,,,
19877,内乡县赞若农牧设备有限公司,,,,
19878,内乡县牧富设备安装工程有限公司,,,,
19879,河南佳木新型环保材料有限公司,,,,
19880,邓州市方正彩印纸箱有限公司,,,,
19881,鹿邑县鸿顺商砼有限公司,,,,
19882,济源市信通高科电器有限公司,,,,
19883,濮阳市中驰安防科技有限公司,,,,
19884,郑州市异型砂轮制造有限公司,,,,
19885,南阳春辉防腐工程有限公司,,,,
19886,经纬建材有限公司,,,,
19887,泌阳县汇鑫农业科技发展有限公司,,,,
19888,郑州沃力智能科技有限公司,,,,
19889,河南克莱威纳米碳材料有限公司,,,,
19890,许昌市海轩实业有限公司,,,,
19891,郑州博腾机械设备有限公司,,,,
19892,河南通缆电力有限公司,,,,
19893,新野县秀任农作物种植专业合作社,,,,
19894,郑州市北方铝业有限公司,,,,
19895,河南协益织造有限公司,,,,
19896,郑州笨农农业科技有限公司,,,,
19897,南阳市卧龙区继凯建材有限公司,,,,
19898,信阳市师源检测技术服务有限公司,,,,
19899,濮阳市安诺能源科技有限公司,,,,
19900,洛阳航准精密制造有限公司,,,,
19901,新乡市中岳滤清器有限公司,,,,
19902,河南洁源新型建筑材料有限公司,,,,
19903,内乡县吉日格拉商贸有限公司,,,,
19904,郑州汉峰机电科技有限公司,,,,
19905,河南富鸿达化妆用具包装科技有限公司,,,,
19906,汝阳县科信建筑工程质量检测有限公司,,,,
19907,南阳市万泽建筑装饰材料有限公司,,,,
19908,泌阳县鑫诚汽车内饰有限公司,,,,
19909,河南广电科技有限公司,,,,
19910,河南宝莱健生物工程有限公司,,,,
19911,河南瑞昂畜牧科技有限公司,,,,
19912,信阳泽兴科技有限公司,,,,
19913,河南缔澄环保科技有限公司,,,,
19914,洛阳誉芯金刚石有限公司,,,,
19915,西峡县豫玺农业发展有限公司,,,,
19916,洛阳三叶窗业有限公司,,,,
19917,南阳市义丰达建业有限公司,,,,
19918,河南商英医疗科技有限公司,,,,
19919,河南圣源金属科技有限公司,,,,
19920,河南豫龙通信有限公司,,,,
19921,河南省前卫电熔科技有限公司,,,,
19922,河南凯兴钢结构有限公司,,,,
19923,河南鑫荣重工有限公司,,,,
19924,河南海涵电力工程有限公司,,,,
19925,河南丽景汽车零部件有限公司,,,,
19926,南阳市旅动文化旅游有限责任公司,,,,
19927,郑州广之达网络科技有限公司,,,,
19928,南阳市嘉信包装制品有限公司,,,,
19929,河南普泰环境科技有限公司,,,,
19930,南阳绿嘉苑农林科技发展有限公司,,,,
19931,鹤壁市京鹤同力新型环保干混砂浆有限公司,,,,
19932,河南顺成科技有限公司,,,,
19933,河南雅利安新材料有限公司,,,,
19934,河南万事达家具装饰工程有限公司,,,,
19935,信阳胜伟机械有限公司,,,,
19936,郑州万松重工机械制造有限公司,,,,
19937,郑州市晶森彩印有限公司,,,,
19938,河南中凯供应链有限责任公司,,,,
19939,河南桃景实业有限公司,,,,
19940,西峡县旭泰木业有限公司,,,,
19941,内乡县欣莹装饰工程有限公司,,,,
19942,南阳易艾帑承古艾草业有限公司,,,,
19943,扶沟县隆力汽缸盖有限公司,,,,
19944,郑州市顺鑫工程设备有限公司,,,,
19945,郑州市三强机械有限责任公司,,,,
19946,河南龙峰建筑工程有限公司,,,,
19947,嵩县嵩源钢球制造有限公司,,,,
19948,南阳源柏金属表面技术有限公司,,,,
19949,桐柏县安棚村聚力农牧专业合作社,,,,
19950,泌阳县洪聪珂农业科技有限公司,,,,
19951,西峡县康瑞中药材有限公司,,,,
19952,洛阳市统达食品有限公司,,,,
19953,桐柏县富农油茶种植专业合作社,,,,
19954,河南省哈工上古医疗器械有限公司,,,,
19955,南阳飞晏文化传媒有限公司,,,,
19956,河南晨昕牧业有限公司,,,,
19957,河南嘉华农业科技有限公司,,,,
19958,河南省铂憬新材料科技有限公司,,,,
19959,河南领头羊养殖有限公司,,,,
19960,南阳晟艺数码科技有限公司,,,,
19961,河南乐阳线缆有限公司,,,,
19962,河南迎会智能包装有限公司,,,,
19963,郑州市正升重工科技有限公司,,,,
19964,南阳市宝昌农业发展有限公司,,,,
19965,河南润创信息科技有限公司,,,,
19966,洛阳微芯科技有限公司,,,,
19967,洛阳建品畜牧养殖开发有限公司,,,,
19968,河南景鹏建设工程有限公司,,,,
19969,新野豫航商品混凝土有限公司,,,,
19970,河南九术医药科技有限公司,,,,
19971,河南汇嘉源畜牧设备有限公司,,,,
19972,郑州顺和塑料印刷包装有限公司,,,,
19973,安阳市兴扬远卓网络科技有限公司,,,,
19974,安阳市昊德化工有限公司,,,,
19975,南阳领创新能源科技有限公司,,,,
19976,新乡意刻食品有限公司,,,,
19977,内乡县拓坪农牧设备有限公司,,,,
19978,河南屈佳禾农产品有限公司,,,,
19979,洛阳润泉机电设备有限公司,,,,
19980,凯盟检测技术有限公司,,,,
19981,河南善勤环保科技有限公司,,,,
19982,河南鑫时代智能装备有限公司,,,,
19983,河南邦农饲料有限公司,,,,
19984,河南正威净水材料有限公司,,,,
19985,登封嵩峰建材有限公司,,,,
19986,商丘市震宇涂装设备有限公司,,,,
19987,河南宝翔铝业有限公司,,,,
19988,郑州一阀流体科技有限公司,,,,
19989,信阳市上天梯众达保温材料有限公司,,,,
19990,郑州中航维尔科技有限公司,,,,
19991,郑州震达耐火材料有限公司,,,,
19992,郑州亿展机械有限公司,,,,
19993,周口韩科热力技术有限公司,,,,
19994,泌阳县焦竹园农业开发有限公司,,,,
19995,郑州力创自动化设备有限公司,,,,
19996,许昌恒裕发制品有限公司,,,,
19997,河南万宝新能源控股有限公司,,,,
19998,卢氏县原荣农业有限公司,,,,
19999,南阳市三好门业有限公司,,,,
20000,桐柏县后棚村聚力农牧专业合作社,,,,
20001,未燃安全技术有限公司,,,,
20002,南阳庆彦互联网科技有限公司,,,,
20003,河南德惠源生物技术有限公司,,,,
20004,河南领创特种材料股份有限公司,,,,
20005,疆探氢能（河南）装备技术有限公司,,,,
20006,濮阳市云鼎安防科技有限公司,,,,
20007,河南子典软件技术有限公司,,,,
20008,西平县西地红薯业有限公司,,,,
20009,河南昶新自动化科技有限公司,,,,
20010,新乡市有维网络科技有限公司,,,,
20011,洛阳微卓电子科技有限公司,,,,
20012,河南露旭建设集团发展有限公司,,,,
20013,郑州市彦峰塑料包装有限公司,,,,
20014,河南华视讯科技有限公司,,,,
20015,河南冠浩自动化设备有限公司,,,,
20016,河南华创通信设备有限公司,,,,
20017,河南省银润生态科技有限公司,,,,
20018,郑州华峰仪器有限公司,,,,
20019,郑州金利航空服务有限公司,,,,
20020,河南梁商消防设备有限公司,,,,
20021,郑州方中圆超硬材料有限公司,,,,
20022,许昌市金堂钧瓷文化发展有限公司,,,,
20023,洛阳智双智能科技有限公司,,,,
20024,河南征远沥青砼有限公司,,,,
20025,郑州易为信电子科技有限公司,,,,
20026,郑州市华丰建筑机械有限公司,,,,
20027,河南蓝特电子科技有限公司,,,,
20028,河南英之光建设工程有限公司,,,,
20029,河南赛永建设工程有限公司,,,,
20030,郑州郑韩实业有限公司,,,,
20031,河南佰拓塑业有限公司,,,,
20032,平顶山市双成新材料有限公司,,,,
20033,河南工信柜架集团有限公司,,,,
20034,洛阳众灏电子科技有限公司,,,,
20035,濮阳市众成实业有限公司,,,,
20036,河南英高能源科技有限公司,,,,
20037,河南贝那尔信息科技有限公司,,,,
20038,濮阳市绿色奇点新材料有限公司,,,,
20039,河南健特生物科技集团有限公司,,,,
20040,河南华仁医药有限公司,,,,
20041,桐柏县年华农林种植专业合作社,,,,
20042,许昌盛丰翔发制品有限公司,,,,
20043,南阳德盛纸业有限公司,,,,
20044,郑州开元智能焊接科技有限公司,,,,
20045,南阳中言实业有限公司,,,,
20046,郑州银泰冶金材料有限公司,,,,
20047,河南纤瑞环保科技有限公司,,,,
20048,唐河县玉良农作物种植专业合作社,,,,
20049,邓州市凯亿电子科技有限公司,,,,
20050,食一之家（河南）医学科技有限公司,,,,
20051,许昌伊秀发制品有限公司,,,,
20052,河南通帆信息科技有限公司,,,,
20053,林州市润材铁路配件有限公司,,,,
20054,新乡市先恒机械设备有限公司,,,,
20055,鹤壁市金煜汽车电器有限公司,,,,
20056,河南朵朵花业工艺品股份有限公司,,,,
20057,新乡市平原工业滤器有限公司,,,,
20058,河南豪麒贸易有限公司,,,,
20059,林州市知行合一教育科技有限公司,,,,
20060,洛阳天泰环境科技有限公司,,,,
20061,南阳火珑观赏草种植有限公司,,,,
20062,河南沃福德环保科技有限公司,,,,
20063,濮阳市鑫雅合众文化科技有限公司,,,,
20064,南阳赛耳专用蜡有限公司,,,,
20065,许昌金利源发制品有限公司,,,,
20066,郑州诚航电子产品有限公司,,,,
20067,河南省佰讯光器件有限公司,,,,
20068,淮滨县淮绿源农业科技发展有限公司,,,,
20069,邓州市亚泰机械有限公司,,,,
20070,郑州山德机械有限公司,,,,
20071,洛阳睿翔农业开发有限公司,,,,
20072,宜阳龙翔建材有限公司,,,,
20073,禹州市金盛源发制品有限公司,,,,
20074,河南甭凡工程技术服务有限公司,,,,
20075,新野县占林花生种植专业合作社,,,,
20076,河南广阔金属制品有限公司,,,,
20077,南阳宏翰牧业有限公司,,,,
20078,商丘市联诺包装有限公司,,,,
20079,楚尚（河南）生物科技有限公司,,,,
20080,巩义市国丰新材料科技有限公司,,,,
20081,扶沟县诚成纺织有限公司,,,,
20082,许昌苏铂来发制品有限公司,,,,
20083,濮阳市恩赢高分子材料有限公司,,,,
20084,桐柏县安棚村聚心农牧专业合作社,,,,
20085,许昌有道环保材料有限公司,,,,
20086,河南鑫芳生态农业发展有限公司,,,,
20087,巩义市奔腾辊业有限公司,,,,
20088,洛阳瑞研电子科技有限公司,,,,
20089,河南智投建筑工程有限公司,,,,
20090,南阳大煊赫纺织科技有限公司,,,,
20091,郑州路宏铁路器材有限公司,,,,
20092,河南中润正合科技有限公司,,,,
20093,禹州市尚丽丝工艺品有限公司,,,,
20094,河南东林柔印科技有限公司,,,,
20095,光山县付磊农业机械化专业合作社,,,,
20096,河南元能信息科技有限公司,,,,
20097,桐柏王湾茶叶专业合作社,,,,
20098,河南帕加尼皮业有限公司,,,,
20099,洛阳科泰高温科技有限公司,,,,
20100,河南省木之乡木业有限公司,,,,
20101,河南亿康明胶有限公司,,,,
20102,太康县诚基环保产业有限公司,,,,
20103,南阳市圣泰保温建材有限公司,,,,
20104,河南四棱豆农业科技有限公司,,,,
20105,安阳市云鲲航空技术有限公司,,,,
20106,河南高丽电力科技有限公司,,,,
20107,河南硕邦电缆有限公司,,,,
20108,安阳凌云环保科技有限公司,,,,
20109,禹州市硕美工艺品有限公司,,,,
20110,郑州环洁染料化工有限公司,,,,
20111,河南拓聚电子科技有限公司,,,,
20112,南阳泓源房地产开发有限公司,,,,
20113,鹤壁市中电博瑞电子科技有限公司,,,,
20114,桐柏县李湾村聚心农牧专业合作社,,,,
20115,河南航硕牧业有限公司,,,,
20116,许昌市建安区诺润再生资源有限公司,,,,
20117,汝阳县博达农业开发有限公司,,,,
20118,伊川县新创养殖有限公司,,,,
20119,河南天佑佳禾农业科技有限公司,,,,
20120,南阳毅诺农业开发有限公司,,,,
20121,河南村振实业有限公司,,,,
20122,新乡市泰睿恒科技有限公司,,,,
20123,平顶山市智趣网络信息科技有限公司,,,,
20124,河南鱿当家食品有限公司,,,,
20125,河南小彩鹿科技有限公司,,,,
20126,河南省金龟山禽业有限公司,,,,
20127,河南乾元过滤设备有限公司,,,,
20128,社旗县泓源造林绿化有限公司,,,,
20129,郑州环谦智电子科技有限公司,,,,
20130,河南八个人农业科技有限公司,,,,
20131,南阳市鸿瑞禽业有限公司,,,,
20132,南阳市宛城区旭君园艺有限公司,,,,
20133,汝南县祥云木业有限公司,,,,
20134,河南益特康生物药业有限公司,,,,
20135,洛阳曦美义齿有限公司,,,,
20136,河南奥纳电力工程有限公司,,,,
20137,郑州锦荣耐磨材料有限公司,,,,
20138,巩义市富源净水材料有限公司,,,,
20139,洛阳西仪智能科技有限公司,,,,
20140,河南丰园食品有限公司,,,,
20141,河南省启业机械设备有限责任公司,,,,
20142,南阳汉艾金方健康科技有限公司,,,,
20143,洛阳市诚顺电磁线有限公司,,,,
20144,鄢陵陵塔水泥有限责任公司,,,,
20145,长兴浙宛（内乡县）新材料有限公司,,,,
20146,平顶山中昱电力能源股份有限公司,,,,
20147,桐柏县文翔苗木花卉专业合作社,,,,
20148,社旗县鑫运木业有限公司,,,,
20149,郑州览胜实验仪器有限责任公司,,,,
20150,济源市中孚机械制造有限公司,,,,
20151,南阳华陶中钻新材料有限公司,,,,
20152,洛阳公信联创知识产权代理有限公司,,,,
20153,南阳市腾源危险废物回收有限公司,,,,
20154,南阳君安窗业有限公司,,,,
20155,方城县小史店郝庄互助光荣中药材种植专业合作社,,,,
20156,驻马店市淘儿宁药业有限公司,,,,
20157,伊川县杨海山红杰种植农民专业合作社,,,,
20158,河南萌驰智能科技有限公司,,,,
20159,河南智慧云居家养老服务有限公司,,,,
20160,唐河县飞来渔食品有限公司,,,,
20161,南阳利恒食品有限公司,,,,
20162,亿威地创信息技术有限公司,,,,
20163,商丘新东方机械有限公司,,,,
20164,邓州市邓酝酒业有限公司,,,,
20165,河南道为机械设备有限公司,,,,
20166,周口市川汇区康诚门窗销售有限公司,,,,
20167,河南衡蒂盛新材料有限公司,,,,
20168,范县中基宏业新型建材有限公司,,,,
20169,南阳仲谋网络科技有限公司,,,,
20170,平舆县鸿德商品混凝土有限公司,,,,
20171,内乡县牧平水泥制品有限公司,,,,
20172,鹿邑县亿鑫源毛业有限公司,,,,
20173,泌阳县恒鑫新能源有限公司,,,,
20174,洛阳顺安运输有限公司,,,,
20175,河南熟之道科技有限公司,,,,
20176,河南思秋建筑工程有限公司,,,,
20177,河南达飞实业有限公司,,,,
20178,内乡县小巨人畜牧设备有限公司,,,,
20179,河南锋威新材料有限公司,,,,
20180,河南许继供应链科技有限公司,,,,
20181,河南依尚实业有限公司,,,,
20182,河南省全农农业科技有限公司,,,,
20183,洛阳领恒科技有限公司,,,,
20184,郑州淼沃智能科技有限公司,,,,
20185,郑州鑫达汽创科技有限公司,,,,
20186,内乡县颖洁农牧设备有限公司,,,,
20187,扶沟县禾瑞五金塑胶光电制品有限公司,,,,
20188,河南鸣祥文化传播有限公司,,,,
20189,河南正高药业有限公司,,,,
20190,郑州三和水工机械有限公司,,,,
20191,商城县永固商砼有限公司,,,,
20192,郑州恒洁环保设备有限公司,,,,
20193,河南汇策机车装备有限公司,,,,
20194,南阳育财园林绿化有限公司,,,,
20195,河南创泰激光科技有限公司,,,,
20196,河南石之首石业有限公司,,,,
20197,郑州华能环保设备有限公司,,,,
20198,河南金德锅炉有限公司,,,,
20199,桐柏忠宇广告有限公司,,,,
20200,兰考县华蕈食用菌设备有限公司,,,,
20201,河南交安科技有限公司,,,,
20202,平顶山市晟润石材有限责任公司,,,,
20203,社旗县永强混凝土有限公司,,,,
20204,河南千禧建设工程有限公司,,,,
20205,河南东森生物科技有限公司,,,,
20206,罗山县泰禾农业发展有限公司,,,,
20207,鹤壁市鹤投京鹤商砼有限公司,,,,
20208,平顶山市舜和农业开发有限公司,,,,
20209,巩义市斯伟特焊接材料有限公司,,,,
20210,洛阳泉月农牧有限公司,,,,
20211,邓州市瑞泽自动化电子设备有限公司,,,,
20212,河南黄大建设工程有限公司,,,,
20213,郑州华思光电技术有限公司,,,,
20214,河南国立百特环保科技有限公司,,,,
20215,河南小牛信息科技有限公司,,,,
20216,南阳裕翔电子有限公司,,,,
20217,南阳豫茗汇食品有限公司,,,,
20218,南阳中商有机农业开发有限公司,,,,
20219,洛阳鼎雅仿古青铜器有限公司,,,,
20220,光山县国兴粮贸有限公司,,,,
20221,飞阳电子科技（商丘）有限公司,,,,
20222,河南诺佰电力科技有限公司,,,,
20223,南阳超煜钢结构有限公司,,,,
20224,河南蜡梅茶业发展有限公司,,,,
20225,许昌茂源科技有限公司,,,,
20226,邓州市誉雪面业有限公司,,,,
20227,汝阳县世权农业有限公司,,,,
20228,方城县小史店王楼互助光荣中药材种植专业合作社,,,,
20229,南阳市亿龙箱包有限公司,,,,
20230,河南春威门业科技有限公司,,,,
20231,南阳七星源药业有限公司,,,,
20232,河南百方千草实业有限公司,,,,
20233,洛阳浩科网络科技有限公司,,,,
20234,河南宏牧安装服务有限公司,,,,
20235,郑州市泰科工控自动化有限公司,,,,
20236,河南南都云联惠实业有限公司,,,,
20237,洛阳高度医疗器械有限公司,,,,
20238,洛阳佳耐座椅制造有限公司,,,,
20239,洛阳逢山机械设备有限公司,,,,
20240,河南美之亨装饰工程有限公司,,,,
20241,方城县小史店大林头互助光荣中药材种植专业合作社,,,,
20242,河南善为技术服务有限公司,,,,
20243,邓州市名匠之家家具有限公司,,,,
20244,河南省盛立邺医疗科技有限公司,,,,
20245,河南辣辣香食品有限公司,,,,
20246,伊川县昊鑫塑料有限公司,,,,
20247,内乡县智禾商贸有限公司,,,,
20248,鄢陵县山松市政园林工程有限公司,,,,
20249,邓州市福思源食品有限公司,,,,
20250,信阳市金瓜奇果农业科技有限公司,,,,
20251,南阳方创网络科技有限公司,,,,
20252,河南仟顺玺金属制品有限公司,,,,
20253,北京同仁堂河南中药材科技开发有限公司,,,,
20254,许昌聚镁绘天科技有限责任公司,,,,
20255,河南亍艾堂医疗科技有限公司,,,,
20256,郑州博凯利生态工程有限公司,,,,
20257,河南万众通达物联科技有限公司,,,,
20258,三门峡昊博化工工程有限公司,,,,
20259,邓州市丹水源农业科技有限公司,,,,
20260,桐柏县宏兴养殖专业合作社,,,,
20261,河南益和恒泰饲料有限公司,,,,
20262,林州市勇进机械设备制造有限公司,,,,
20263,河南泰兴工业工程有限公司,,,,
20264,河南泰呈信息科技有限公司,,,,
20265,桐柏豫能凤凰风电有限公司,,,,
20266,郑州华迈智能科技有限公司,,,,
20267,林州双宇信息科技有限公司,,,,
20268,郑州博瀚智能科技有限公司,,,,
20269,河南卓逸信息技术有限公司,,,,
20270,河南思骏环保科技有限公司,,,,
20271,桐柏县宏泽服装有限公司,,,,
20272,濮阳管通石油机械工程技术有限公司,,,,
20273,河南庆安化工技术研发有限公司,,,,
20274,郑州市中天高科有限公司,,,,
